epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7285,1.92021,3.58653,2.06876,0.00515,0.70833,0.01045,0.00257,1.92932,3.90452,2.27502,0.00028,0.00028,0.00028
2,30.8301,1.8273,3.17204,1.88996,0.00576,0.79167,0.06064,0.01611,1.91319,3.64903,1.96156,0.000568516,0.000568516,0.000568516
3,45.9531,1.88381,3.18833,1.89097,0.00576,0.79167,0.10048,0.05227,2.00171,3.49263,1.96501,0.000845152,0.000845152,0.000845152
4,60.9122,1.90158,3.32201,1.94196,0.00545,0.75,0.0475,0.02123,2.04553,3.58264,1.87251,0.00110991,0.00110991,0.00110991
5,75.4566,1.74182,3.28293,1.83379,0.00576,0.79167,0.07688,0.03051,2.16734,3.51383,1.97616,0.00136278,0.00136278,0.00136278
6,90.5598,1.83387,3.13724,1.87688,0.00875,0.45833,0.02986,0.01195,2.24656,3.63118,2.07671,0.00160378,0.00160378,0.00160378
7,105.298,1.93871,3.21113,1.91608,0.03122,0.04167,0.02858,0.00991,2.26736,3.68006,2.21543,0.0017624,0.0017624,0.0017624
8,119.745,1.92464,3.01988,1.86469,0.07057,0.125,0.03771,0.01489,2.08031,3.57451,1.99475,0.0017228,0.0017228,0.0017228
9,135.193,1.93893,2.9232,1.89455,0.07555,0.29167,0.04489,0.01748,2.0262,3.32833,1.95395,0.0016832,0.0016832,0.0016832
10,151.077,1.81299,2.77173,1.8488,0.07416,0.20833,0.0374,0.01294,1.96906,3.55067,2.00203,0.0016436,0.0016436,0.0016436
11,166.917,1.95402,3.07207,1.94015,0.07416,0.20833,0.0374,0.01294,1.96906,3.55067,2.00203,0.001604,0.001604,0.001604
12,182.426,1.761,2.79584,1.76507,0.14518,0.125,0.05084,0.02454,1.99492,3.51815,2.07826,0.0015644,0.0015644,0.0015644
13,197.802,1.78815,2.73983,1.79836,0.22369,0.08333,0.05916,0.02489,1.94926,3.56143,2.05595,0.0015248,0.0015248,0.0015248
